"","fips","netwp_h"
"1146","22071",-0.00710129970684648
"1147","22073",0.000495466112624854
"1148","22075",NA
"1149","22077",NA
"1150","22079",NA
"1151","22081",NA
"1152","22083",NA
"1153","22085",NA
"1154","22087",NA
"1155","22089",NA
"1156","22091",NA
"1157","22093",NA
"1158","22095",NA
"1159","22097",NA
"1160","22099",NA
"1161","22101",NA
"1162","22103",-0.0440774708986282
"1163","22105",-0.040561817586422
"1164","22107",NA
"1165","22109",0.0283295586705208
"1166","22111",NA
"1167","22113",NA
"1168","22115",NA
"1169","22117",NA
"1170","22119",NA
"1171","22121",NA
"1172","22123",NA
"1173","22125",NA
"1174","22127",NA
"1175","23001",NA
"1176","23003",NA
"1177","23005",NA
"1178","23007",NA
"1179","23009",NA
"1180","23011",NA
"1181","23013",NA
"1182","23015",NA
"1183","23017",NA
"1184","23019",-0.0487469546496868
"1185","23021",NA
"1186","23023",NA
"1187","23025",NA
"1188","23027",NA
"1189","23029",NA
"1190","23031",NA
"1191","24001",-0.0542414076626301
"1192","24003",-0.102051094174385
"1193","24005",-0.0535941869020462
"1194","24009",-0.187400445342064
"1195","24011",NA
"1196","24013",-0.109170973300934
"1197","24015",-0.122617088258266
"1198","24017",-0.334280014038086
"1199","24019",-0.139515474438667
"1200","24021",-0.192177593708038
"1201","24023",-0.0708249285817146
"1202","24025",-0.0836291685700417
"1203","24027",-0.0935275331139565
"1204","24029",NA
"1205","24031",-0.0796802416443825
"1206","24033",-0.37140291929245
"1207","24035",NA
"1208","24037",-0.200664162635803
"1209","24039",NA
"1210","24041",-0.0747092068195343
"1211","24043",-0.127755671739578
"1212","24045",-0.0766405016183853
"1213","24047",-0.162625372409821
"1214","24510",-0.0916215926408768
"1215","25001",-0.0776960253715515
"1216","25003",-0.0654034540057182
"1217","25005",-0.12763237953186
"1218","25007",NA
"1219","25009",-0.0823356285691261
"1220","25011",-0.0439510345458984
"1221","25013",-0.0656644552946091
"1222","25015",-0.0149275874719024
"1223","25017",-0.0328875184059143
"1224","25019",NA
"1225","25021",-0.0317722670733929
"1226","25023",-0.101639673113823
